PickID,OrderID,PPS_ID,PickerType,PickerID,StartTime,EndTime,UnitsPicked,PickDuration
PICK_23,ORD_23,PPS_1,Robot,RBT_4,2024-03-13 02:32:00,2024-03-13 02:34:20.283657,10,140.28365699800696
PICK_24,ORD_24,PPS_1,Robot,RBT_2,2024-03-03 04:36:00,2024-03-03 04:36:37.274549,6,37.27454852369951
PICK_25,ORD_25,PPS_4,Robot,RBT_3,2024-03-02 03:33:00,2024-03-02 03:35:19.518102,2,139.5181020504736
PICK_26,ORD_26,PPS_2,Human,Operator_2,2024-03-11 10:48:00,2024-03-11 10:49:02.443843,6,62.44384299809293
PICK_27,ORD_27,PPS_4,Robot,RBT_1,2024-03-30 20:28:00,2024-03-30 20:28:58.044118,1,58.044118455045144
PICK_28,ORD_28,PPS_3,Human,Operator_3,2024-03-05 06:00:00,2024-03-05 06:02:01.153152,8,121.15315214286565
PICK_29,ORD_29,PPS_2,Human,Operator_5,2024-03-18 22:08:00,2024-03-18 22:09:56.809299,10,116.80929909670083
PICK_30,ORD_30,PPS_3,Human,Operator_1,2024-03-15 10:51:00,2024-03-15 10:52:50.925033,8,110.9250332200095
PICK_31,ORD_31,PPS_4,Robot,RBT_5,2024-03-19 14:03:00,2024-03-19 14:04:46.700363,8,106.70036313458368
PICK_32,ORD_32,PPS_5,Human,Operator_3,2024-03-18 06:08:00,2024-03-18 06:12:26.650407,7,266.65040707382263
PICK_33,ORD_33,PPS_5,Human,Operator_4,2024-03-18 03:27:00,2024-03-18 03:30:21.692220,1,201.69221967357407
PICK_34,ORD_34,PPS_1,Robot,RBT_3,2024-03-02 18:35:00,2024-03-02 18:36:50.779655,8,110.77965463315651
PICK_35,ORD_35,PPS_1,Robot,RBT_4,2024-03-24 15:07:00,2024-03-24 15:08:24.096694,9,84.09669369849014
PICK_36,ORD_36,PPS_4,Human,Operator_1,2024-03-01 03:25:00,2024-03-01 03:27:53.081048,4,173.0810483197479
PICK_37,ORD_37,PPS_3,Robot,RBT_4,2024-03-17 13:15:00,2024-03-17 13:16:02.225841,4,62.2258410527769
PICK_38,ORD_38,PPS_1,Robot,RBT_4,2024-03-21 18:14:00,2024-03-21 18:15:27.846886,3,87.84688596019905
PICK_39,ORD_39,PPS_4,Human,Operator_4,2024-03-30 13:35:00,2024-03-30 13:38:03.025411,1,183.02541111814216
PICK_40,ORD_40,PPS_1,Human,Operator_4,2024-03-13 03:55:00,2024-03-13 03:56:03.717941,4,63.71794119091903
PICK_41,ORD_41,PPS_3,Robot,RBT_3,2024-03-05 17:07:00,2024-03-05 17:09:04.394732,6,124.39473236672592
PICK_42,ORD_42,PPS_1,Human,Operator_1,2024-03-24 14:45:00,2024-03-24 14:45:31.084121,9,31.084121005024997
PICK_43,ORD_43,PPS_4,Robot,RBT_1,2024-03-18 15:00:00,2024-03-18 15:00:12.283918,10,12.283917720752013
PICK_44,ORD_44,PPS_4,Robot,RBT_5,2024-03-09 20:38:00,2024-03-09 20:38:18.133381,9,18.133381307543395
PICK_45,ORD_45,PPS_2,Robot,RBT_5,2024-03-06 02:08:00,2024-03-06 02:09:08.479447,8,68.47944704302301
PICK_46,ORD_46,PPS_2,Robot,RBT_1,2024-03-08 19:35:00,2024-03-08 19:37:18.732926,8,138.7329262760103
PICK_47,ORD_47,PPS_3,Human,Operator_5,2024-03-16 16:46:00,2024-03-16 16:49:45.560302,10,225.56030160545518
PICK_48,ORD_48,PPS_2,Human,Operator_4,2024-03-06 00:59:00,2024-03-06 01:00:34.415983,7,94.41598282951756
PICK_49,ORD_49,PPS_1,Robot,RBT_2,2024-03-12 03:55:00,2024-03-12 03:56:20.966763,5,80.96676269547895
PICK_50,ORD_50,PPS_4,Robot,RBT_2,2024-03-01 12:19:00,2024-03-01 12:20:31.844022,7,91.84402154846305
PICK_51,ORD_51,PPS_2,Robot,RBT_3,2024-03-25 06:53:00,2024-03-25 06:53:14.433877,2,14.433876709092026
PICK_52,ORD_52,PPS_4,Robot,RBT_2,2024-03-21 05:50:00,2024-03-21 05:52:26.492567,2,146.49256668627012
PICK_53,ORD_53,PPS_1,Human,Operator_3,2024-03-07 14:22:00,2024-03-07 14:26:17.085507,3,257.0855074064657
PICK_54,ORD_54,PPS_4,Robot,RBT_1,2024-03-12 01:06:00,2024-03-12 01:08:07.049382,7,127.04938203564728
PICK_55,ORD_55,PPS_2,Human,Operator_1,2024-03-06 06:28:00,2024-03-06 06:30:04.115705,5,124.11570472794205
PICK_56,ORD_56,PPS_4,Human,Operator_4,2024-03-01 22:23:00,2024-03-01 22:24:41.510506,4,101.5105063071202
PICK_57,ORD_57,PPS_5,Human,Operator_2,2024-03-16 18:37:00,2024-03-16 18:38:29.405649,7,89.40564870038608
PICK_58,ORD_58,PPS_5,Human,Operator_3,2024-03-03 21:12:00,2024-03-03 21:13:09.024802,6,69.02480203829639
PICK_59,ORD_59,PPS_5,Robot,RBT_2,2024-03-25 10:53:00,2024-03-25 10:53:57.767533,1,57.767533170078146
PICK_60,ORD_60,PPS_1,Human,Operator_4,2024-03-18 13:12:00,2024-03-18 13:13:06.573198,5,66.5731977721062
PICK_61,ORD_61,PPS_2,Robot,RBT_2,2024-03-26 14:34:00,2024-03-26 14:35:58.864898,1,118.86489778281737
PICK_62,ORD_62,PPS_1,Robot,RBT_4,2024-03-01 16:28:00,2024-03-01 16:29:46.782916,6,106.78291624119241
PICK_63,ORD_63,PPS_2,Robot,RBT_4,2024-03-08 19:27:00,2024-03-08 19:28:23.552807,4,83.55280664850505
PICK_64,ORD_64,PPS_5,Human,Operator_1,2024-03-05 10:19:00,2024-03-05 10:22:39.163383,6,219.16338300132006
PICK_65,ORD_65,PPS_1,Human,Operator_3,2024-03-19 20:24:00,2024-03-19 20:28:09.633016,10,249.6330162339245
PICK_66,ORD_66,PPS_4,Robot,RBT_1,2024-03-25 03:10:00,2024-03-25 03:11:57.992899,2,117.99289907694703
PICK_67,ORD_67,PPS_4,Robot,RBT_3,2024-03-03 19:33:00,2024-03-03 19:34:21.074206,6,81.07420641037908
PICK_68,ORD_68,PPS_4,Robot,RBT_5,2024-03-09 03:26:00,2024-03-09 03:27:27.252439,4,87.2524388387041
PICK_69,ORD_69,PPS_5,Robot,RBT_2,2024-03-03 08:18:00,2024-03-03 08:19:00.037399,2,60.03739882818065
PICK_70,ORD_70,PPS_4,Human,Operator_1,2024-03-08 04:10:00,2024-03-08 04:13:23.630667,2,203.63066740865074
PICK_71,ORD_71,PPS_4,Human,Operator_1,2024-03-24 06:42:00,2024-03-24 06:43:04.773757,10,64.77375684299273
PICK_72,ORD_72,PPS_5,Human,Operator_3,2024-03-01 23:49:00,2024-03-01 23:51:25.777176,5,145.77717649302963
PICK_73,ORD_73,PPS_1,Robot,RBT_1,2024-03-25 07:57:00,2024-03-25 07:58:36.958751,8,96.9587513944614
PICK_74,ORD_74,PPS_2,Robot,RBT_1,2024-03-12 05:26:00,2024-03-12 05:27:03.122939,3,63.12293914391697
PICK_75,ORD_75,PPS_5,Human,Operator_4,2024-03-10 13:26:00,2024-03-10 13:28:40.170410,2,160.1704100125912
PICK_76,ORD_76,PPS_1,Human,Operator_3,2024-03-08 01:44:00,2024-03-08 01:46:13.440877,9,133.4408765954652
PICK_77,ORD_77,PPS_5,Human,Operator_5,2024-03-13 14:24:00,2024-03-13 14:27:17.916265,1,197.91626503128694
PICK_78,ORD_78,PPS_2,Robot,RBT_5,2024-03-30 15:49:00,2024-03-30 15:50:46.019428,4,106.01942761425146
PICK_79,ORD_79,PPS_1,Human,Operator_3,2024-03-11 00:59:00,2024-03-11 01:00:22.888381,7,82.88838097750528
PICK_80,ORD_80,PPS_2,Robot,RBT_2,2024-03-07 01:33:00,2024-03-07 01:33:21.493621,1,21.49362133856545
PICK_81,ORD_81,PPS_2,Human,Operator_3,2024-03-07 13:21:00,2024-03-07 13:25:12.501921,9,252.50192103482757
PICK_82,ORD_82,PPS_2,Human,Operator_5,2024-03-20 17:48:00,2024-03-20 17:50:38.688558,9,158.6885582023974
PICK_83,ORD_83,PPS_1,Human,Operator_1,2024-03-01 00:15:00,2024-03-01 00:16:08.974245,10,68.97424500753587
PICK_84,ORD_84,PPS_5,Human,Operator_3,2024-03-27 20:29:00,2024-03-27 20:33:34.055130,8,274.0551299328545
PICK_85,ORD_85,PPS_5,Human,Operator_2,2024-03-21 04:47:00,2024-03-21 04:51:58.845279,8,298.84527888338704
PICK_86,ORD_86,PPS_5,Robot,RBT_4,2024-03-23 01:58:00,2024-03-23 01:59:15.245884,9,75.24588440283728
PICK_87,ORD_87,PPS_1,Human,Operator_5,2024-03-12 03:38:00,2024-03-12 03:42:22.661676,4,262.66167609882825
PICK_88,ORD_88,PPS_5,Robot,RBT_5,2024-03-15 02:39:00,2024-03-15 02:39:53.799812,6,53.79981201915507
PICK_89,ORD_89,PPS_5,Robot,RBT_5,2024-03-13 19:41:00,2024-03-13 19:41:50.455151,4,50.45515118889628
PICK_90,ORD_90,PPS_5,Robot,RBT_4,2024-03-10 19:19:00,2024-03-10 19:20:25.663078,1,85.66307832037002
PICK_91,ORD_91,PPS_2,Robot,RBT_5,2024-03-29 09:18:00,2024-03-29 09:19:06.849988,10,66.84998824013594
PICK_92,ORD_92,PPS_3,Robot,RBT_5,2024-03-04 15:50:00,2024-03-04 15:50:17.349538,2,17.349538059069143
PICK_93,ORD_93,PPS_2,Human,Operator_1,2024-03-13 04:37:00,2024-03-13 04:38:36.091906,7,96.0919064945601
PICK_94,ORD_94,PPS_2,Robot,RBT_5,2024-03-24 17:05:00,2024-03-24 17:06:00.498799,1,60.49879897594914
PICK_95,ORD_95,PPS_3,Human,Operator_1,2024-03-22 10:19:00,2024-03-22 10:23:01.067062,9,241.0670619424027
PICK_96,ORD_96,PPS_3,Robot,RBT_3,2024-03-21 14:32:00,2024-03-21 14:32:40.155490,7,40.155490474239926
PICK_97,ORD_97,PPS_1,Human,Operator_4,2024-03-09 19:58:00,2024-03-09 19:59:20.178564,6,80.17856412760514
PICK_98,ORD_98,PPS_1,Human,Operator_1,2024-03-08 16:39:00,2024-03-08 16:40:37.988368,8,97.98836759272432
PICK_99,ORD_99,PPS_4,Human,Operator_2,2024-03-20 14:08:00,2024-03-20 14:12:20.235553,7,260.2355525167733
PICK_100,ORD_100,PPS_5,Human,Operator_3,2024-03-05 14:39:00,2024-03-05 14:41:08.940877,7,128.9408768952818
PICK_101,ORD_101,PPS_1,Human,Operator_4,2024-03-17 13:07:00,2024-03-17 13:10:10.254000,6,190.25399977507809
PICK_102,ORD_102,PPS_5,Human,Operator_5,2024-03-07 08:17:00,2024-03-07 08:21:44.659459,10,284.6594589571173
PICK_103,ORD_103,PPS_5,Robot,RBT_1,2024-03-23 06:40:00,2024-03-23 06:42:18.340585,7,138.34058548655852
PICK_104,ORD_104,PPS_1,Human,Operator_1,2024-03-23 19:09:00,2024-03-23 19:09:50.083477,5,50.083477178266584
PICK_105,ORD_105,PPS_5,Robot,RBT_4,2024-03-23 04:54:00,2024-03-23 04:54:12.081077,3,12.08107671232698
PICK_106,ORD_106,PPS_3,Human,Operator_2,2024-03-08 21:28:00,2024-03-08 21:31:12.666914,7,192.66691424934277
PICK_107,ORD_107,PPS_5,Robot,RBT_1,2024-03-19 09:38:00,2024-03-19 09:39:29.272804,1,89.27280431887056
PICK_108,ORD_108,PPS_5,Human,Operator_3,2024-03-15 08:38:00,2024-03-15 08:41:50.732903,8,230.73290293021927
PICK_109,ORD_109,PPS_1,Robot,RBT_5,2024-03-14 23:52:00,2024-03-14 23:54:07.743345,1,127.7433451775196
PICK_110,ORD_110,PPS_5,Robot,RBT_1,2024-03-27 00:54:00,2024-03-27 00:55:55.318753,4,115.31875278743107
PICK_111,ORD_111,PPS_4,Human,Operator_5,2024-03-28 16:34:00,2024-03-28 16:35:28.725239,5,88.72523915322142
PICK_112,ORD_112,PPS_3,Human,Operator_4,2024-03-04 18:55:00,2024-03-04 18:55:56.406669,6,56.40666896241524
PICK_113,ORD_113,PPS_4,Human,Operator_3,2024-03-24 00:44:00,2024-03-24 00:46:47.761164,7,167.7611639561371
PICK_114,ORD_114,PPS_2,Robot,RBT_5,2024-03-07 19:30:00,2024-03-07 19:31:22.785914,10,82.78591369549433
PICK_115,ORD_115,PPS_4,Human,Operator_1,2024-03-30 03:23:00,2024-03-30 03:26:32.206450,1,212.20645014778688
PICK_116,ORD_116,PPS_1,Human,Operator_4,2024-03-25 13:58:00,2024-03-25 14:02:53.423224,9,293.42322389932224
PICK_117,ORD_117,PPS_1,Robot,RBT_3,2024-03-06 15:16:00,2024-03-06 15:16:37.526249,8,37.52624944574536
PICK_118,ORD_118,PPS_3,Robot,RBT_4,2024-03-11 08:15:00,2024-03-11 08:15:46.949230,9,46.949229668745005
PICK_119,ORD_119,PPS_1,Robot,RBT_2,2024-03-17 22:13:00,2024-03-17 22:15:25.073085,10,145.07308503534244
PICK_120,ORD_120,PPS_4,Human,Operator_1,2024-03-05 01:54:00,2024-03-05 01:58:34.154572,8,274.1545719402336
PICK_121,ORD_121,PPS_1,Human,Operator_4,2024-03-08 11:58:00,2024-03-08 11:59:40.340065,10,100.34006497791124
PICK_122,ORD_122,PPS_1,Human,Operator_2,2024-03-09 07:05:00,2024-03-09 07:05:46.247928,9,46.24792751433342
PICK_123,ORD_123,PPS_3,Human,Operator_1,2024-03-09 06:51:00,2024-03-09 06:51:54.977891,10,54.97789076614639
PICK_124,ORD_124,PPS_4,Human,Operator_4,2024-03-11 14:17:00,2024-03-11 14:20:45.351341,10,225.35134123327177
PICK_125,ORD_125,PPS_2,Human,Operator_2,2024-03-06 02:53:00,2024-03-06 02:54:49.702959,1,109.70295908400695
PICK_126,ORD_126,PPS_1,Robot,RBT_1,2024-03-10 06:39:00,2024-03-10 06:40:04.977763,1,64.9777633958676
PICK_127,ORD_127,PPS_4,Robot,RBT_4,2024-03-27 02:47:00,2024-03-27 02:49:10.069317,6,130.0693165979907
PICK_128,ORD_128,PPS_5,Human,Operator_2,2024-03-28 17:26:00,2024-03-28 17:26:37.365437,6,37.36543670495477
PICK_129,ORD_129,PPS_2,Human,Operator_3,2024-03-03 09:06:00,2024-03-03 09:10:30.453106,7,270.4531060108984
PICK_130,ORD_130,PPS_3,Robot,RBT_5,2024-03-07 06:43:00,2024-03-07 06:44:35.997962,5,95.99796187117185
PICK_131,ORD_131,PPS_5,Robot,RBT_3,2024-03-16 18:15:00,2024-03-16 18:17:27.260018,7,147.26001818758095
PICK_132,ORD_132,PPS_4,Human,Operator_2,2024-03-08 13:52:00,2024-03-08 13:56:53.480750,9,293.4807501690857
PICK_133,ORD_133,PPS_1,Human,Operator_2,2024-03-20 18:41:00,2024-03-20 18:42:16.849684,5,76.84968409628334
PICK_134,ORD_134,PPS_1,Robot,RBT_3,2024-03-05 09:56:00,2024-03-05 09:58:13.206486,7,133.20648640840975
PICK_135,ORD_135,PPS_1,Robot,RBT_4,2024-03-01 08:41:00,2024-03-01 08:42:03.789926,1,63.78992572880341
PICK_136,ORD_136,PPS_2,Robot,RBT_5,2024-03-08 20:01:00,2024-03-08 20:02:37.008262,2,97.0082622438022
PICK_137,ORD_137,PPS_4,Human,Operator_2,2024-03-06 02:57:00,2024-03-06 03:01:12.417624,4,252.41762445533573
PICK_138,ORD_138,PPS_2,Robot,RBT_3,2024-03-29 05:07:00,2024-03-29 05:07:57.696025,2,57.696024916132025
PICK_139,ORD_139,PPS_2,Human,Operator_4,2024-03-30 20:23:00,2024-03-30 20:24:11.348254,9,71.34825362019939
PICK_140,ORD_140,PPS_2,Robot,RBT_4,2024-03-13 00:46:00,2024-03-13 00:48:19.428199,8,139.42819873330058
PICK_141,ORD_141,PPS_3,Human,Operator_2,2024-03-03 14:10:00,2024-03-03 14:12:34.152534,9,154.15253421358642
PICK_142,ORD_142,PPS_3,Human,Operator_5,2024-03-22 14:42:00,2024-03-22 14:44:01.495727,10,121.49572719048868
PICK_143,ORD_143,PPS_5,Human,Operator_1,2024-03-15 12:14:00,2024-03-15 12:18:56.806943,10,296.8069431614992
PICK_144,ORD_144,PPS_2,Human,Operator_5,2024-03-09 20:05:00,2024-03-09 20:08:47.311110,10,227.31111014946865
PICK_145,ORD_145,PPS_4,Robot,RBT_4,2024-03-27 13:27:00,2024-03-27 13:29:16.249332,1,136.2493321711784
PICK_146,ORD_146,PPS_5,Robot,RBT_4,2024-03-26 08:34:00,2024-03-26 08:36:16.343001,6,136.34300086292075
PICK_147,ORD_147,PPS_2,Robot,RBT_2,2024-03-13 16:02:00,2024-03-13 16:02:47.437178,4,47.43717772469482
PICK_148,ORD_148,PPS_2,Robot,RBT_5,2024-03-29 05:54:00,2024-03-29 05:55:19.108930,7,79.10893049571061
PICK_149,ORD_149,PPS_2,Robot,RBT_4,2024-03-04 07:25:00,2024-03-04 07:26:34.226572,4,94.22657190336648
PICK_150,ORD_150,PPS_3,Human,Operator_5,2024-03-14 03:34:00,2024-03-14 03:37:03.379427,7,183.3794266648545
PICK_151,ORD_151,PPS_1,Human,Operator_4,2024-03-14 20:44:00,2024-03-14 20:45:07.664788,8,67.6647881017609
PICK_152,ORD_152,PPS_3,Robot,RBT_1,2024-03-21 21:34:00,2024-03-21 21:35:35.882963,1,95.88296263200559
PICK_153,ORD_153,PPS_1,Human,Operator_2,2024-03-24 20:12:00,2024-03-24 20:13:57.874915,8,117.87491527894484
PICK_154,ORD_154,PPS_3,Human,Operator_5,2024-03-25 09:12:00,2024-03-25 09:16:13.985108,8,253.9851079549265
PICK_155,ORD_155,PPS_2,Robot,RBT_3,2024-03-21 08:05:00,2024-03-21 08:06:27.440681,9,87.44068117894074
PICK_156,ORD_156,PPS_1,Human,Operator_4,2024-03-08 18:28:00,2024-03-08 18:32:55.691764,9,295.6917640212158
PICK_157,ORD_157,PPS_2,Robot,RBT_2,2024-03-29 17:11:00,2024-03-29 17:12:53.829322,6,113.82932215311357
PICK_158,ORD_158,PPS_2,Human,Operator_5,2024-03-11 13:54:00,2024-03-11 13:58:09.625153,5,249.62515336105034
PICK_159,ORD_159,PPS_3,Robot,RBT_3,2024-03-03 20:13:00,2024-03-03 20:13:21.690825,8,21.690824542552754
PICK_160,ORD_160,PPS_4,Human,Operator_5,2024-03-04 19:13:00,2024-03-04 19:16:15.165768,3,195.16576777137283
PICK_161,ORD_161,PPS_4,Robot,RBT_4,2024-03-30 16:33:00,2024-03-30 16:34:45.073449,10,105.07344918997138
PICK_162,ORD_162,PPS_1,Robot,RBT_2,2024-03-15 05:30:00,2024-03-15 05:31:45.646208,2,105.64620821539418
PICK_163,ORD_163,PPS_2,Human,Operator_3,2024-03-07 13:49:00,2024-03-07 13:50:42.479710,2,102.47970969994883
PICK_164,ORD_164,PPS_5,Robot,RBT_4,2024-03-15 22:21:00,2024-03-15 22:22:37.313267,7,97.3132665177815
PICK_165,ORD_165,PPS_2,Human,Operator_5,2024-03-10 04:39:00,2024-03-10 04:39:50.966595,10,50.966595468515905
PICK_166,ORD_166,PPS_1,Robot,RBT_5,2024-03-22 09:48:00,2024-03-22 09:49:25.741488,6,85.74148774774123
PICK_167,ORD_167,PPS_5,Robot,RBT_1,2024-03-19 22:24:00,2024-03-19 22:26:27.864492,8,147.8644918419919
PICK_168,ORD_168,PPS_1,Human,Operator_5,2024-03-24 13:31:00,2024-03-24 13:34:02.050284,8,182.0502837806944
PICK_169,ORD_169,PPS_1,Human,Operator_2,2024-03-01 08:32:00,2024-03-01 08:33:07.337393,1,67.3373933569957
PICK_170,ORD_170,PPS_2,Robot,RBT_3,2024-03-01 00:17:00,2024-03-01 00:18:08.536093,3,68.53609313735143
PICK_171,ORD_171,PPS_1,Robot,RBT_3,2024-03-20 13:04:00,2024-03-20 13:06:25.559352,7,145.55935202054752
PICK_172,ORD_172,PPS_1,Human,Operator_2,2024-03-21 19:08:00,2024-03-21 19:10:41.116996,4,161.11699578632584
PICK_173,ORD_173,PPS_5,Human,Operator_4,2024-03-02 23:06:00,2024-03-02 23:06:47.456561,8,47.456560601219316
PICK_174,ORD_174,PPS_3,Robot,RBT_5,2024-03-21 12:15:00,2024-03-21 12:16:11.549569,7,71.54956924247324
PICK_175,ORD_175,PPS_3,Robot,RBT_3,2024-03-13 00:12:00,2024-03-13 00:13:32.363082,1,92.36308201920852
PICK_176,ORD_176,PPS_1,Human,Operator_1,2024-03-10 04:56:00,2024-03-10 04:58:43.976883,10,163.9768834741728
PICK_177,ORD_177,PPS_3,Human,Operator_1,2024-03-03 05:18:00,2024-03-03 05:19:43.026418,8,103.02641840280005
PICK_178,ORD_178,PPS_5,Human,Operator_3,2024-03-01 23:23:00,2024-03-01 23:27:46.285382,4,286.28538202595263
PICK_179,ORD_179,PPS_1,Human,Operator_2,2024-03-26 20:59:00,2024-03-26 21:02:51.687975,5,231.68797463962403
PICK_180,ORD_180,PPS_5,Robot,RBT_5,2024-03-26 10:08:00,2024-03-26 10:10:20.408735,8,140.40873492920167
PICK_181,ORD_181,PPS_2,Robot,RBT_4,2024-03-08 16:55:00,2024-03-08 16:56:41.406657,6,101.40665677017117
PICK_182,ORD_182,PPS_2,Robot,RBT_3,2024-03-20 13:21:00,2024-03-20 13:21:49.360274,7,49.36027376374483
PICK_183,ORD_183,PPS_5,Human,Operator_2,2024-03-30 10:09:00,2024-03-30 10:11:28.901584,2,148.90158387565106
PICK_184,ORD_184,PPS_3,Robot,RBT_1,2024-03-07 23:05:00,2024-03-07 23:07:10.535084,4,130.5350842966154
PICK_185,ORD_185,PPS_1,Human,Operator_1,2024-03-19 00:23:00,2024-03-19 00:26:52.916896,9,232.9168962240798
PICK_186,ORD_186,PPS_4,Robot,RBT_5,2024-03-03 20:32:00,2024-03-03 20:32:23.301091,6,23.301090973045728
PICK_187,ORD_187,PPS_1,Human,Operator_1,2024-03-28 10:03:00,2024-03-28 10:05:04.430647,5,124.43064658119584
PICK_188,ORD_188,PPS_2,Human,Operator_4,2024-03-09 23:08:00,2024-03-09 23:11:34.800792,10,214.80079179014294
PICK_189,ORD_189,PPS_1,Human,Operator_3,2024-03-16 00:18:00,2024-03-16 00:21:52.865215,10,232.8652145706753
PICK_190,ORD_190,PPS_4,Human,Operator_3,2024-03-09 08:57:00,2024-03-09 09:00:25.844378,10,205.84437761588507
PICK_191,ORD_191,PPS_4,Robot,RBT_4,2024-03-17 13:39:00,2024-03-17 13:40:58.819518,6,118.81951760836047
PICK_192,ORD_192,PPS_2,Human,Operator_1,2024-03-04 14:40:00,2024-03-04 14:44:12.873734,2,252.87373436279526
PICK_193,ORD_193,PPS_3,Robot,RBT_3,2024-03-17 08:57:00,2024-03-17 08:57:28.509235,5,28.50923546468184
PICK_194,ORD_194,PPS_1,Robot,RBT_1,2024-03-26 22:44:00,2024-03-26 22:45:24.419258,3,84.41925756084423
PICK_195,ORD_195,PPS_4,Robot,RBT_4,2024-03-04 12:41:00,2024-03-04 12:43:16.955977,8,136.95597748689738
PICK_196,ORD_196,PPS_1,Robot,RBT_2,2024-03-03 12:05:00,2024-03-03 12:05:51.752347,1,51.752346748478665
PICK_197,ORD_197,PPS_1,Robot,RBT_2,2024-03-18 13:54:00,2024-03-18 13:56:22.617214,3,142.61721399445597
PICK_198,ORD_198,PPS_3,Human,Operator_5,2024-03-25 01:49:00,2024-03-25 01:53:25.961369,3,265.96136916086726
PICK_199,ORD_199,PPS_2,Human,Operator_4,2024-03-13 06:16:00,2024-03-13 06:19:37.052507,5,217.05250672319406
PICK_200,ORD_200,PPS_5,Human,Operator_2,2024-03-03 07:37:00,2024-03-03 07:40:38.374073,3,218.37407284008594
PICK_201,ORD_201,PPS_5,Human,Operator_1,2024-03-07 08:29:00,2024-03-07 08:32:40.938381,9,220.93838144913772
PICK_202,ORD_202,PPS_2,Robot,RBT_4,2024-03-08 19:32:00,2024-03-08 19:32:21.399320,10,21.39932011328432
PICK_203,ORD_203,PPS_5,Human,Operator_4,2024-03-01 17:10:00,2024-03-01 17:14:15.654632,1,255.65463216100773
PICK_204,ORD_204,PPS_5,Human,Operator_4,2024-03-07 15:49:00,2024-03-07 15:52:48.200298,10,228.20029807949047
PICK_205,ORD_205,PPS_1,Robot,RBT_2,2024-03-25 10:19:00,2024-03-25 10:20:18.961057,2,78.96105684836813
PICK_206,ORD_206,PPS_2,Human,Operator_1,2024-03-24 09:48:00,2024-03-24 09:49:12.242733,4,72.24273286838998
PICK_207,ORD_207,PPS_3,Robot,RBT_3,2024-03-09 18:34:00,2024-03-09 18:35:10.863525,7,70.8635248141513
PICK_208,ORD_208,PPS_4,Human,Operator_4,2024-03-13 01:47:00,2024-03-13 01:51:39.274497,2,279.27449687461285
PICK_209,ORD_209,PPS_1,Robot,RBT_1,2024-03-23 21:54:00,2024-03-23 21:54:50.622865,1,50.62286530006403
